2023-04-26 20:50:32.255 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-26 20:50:32.264 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.131 seconds (process running for 5.14)
2023-04-26 20:50:39.810 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-26 20:50:39.811 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-26 20:50:39.813 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-26 20:50:42.226 [http-nio-8080-exec-26] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 114 ms
2023-04-26 20:50:51.186 [http-nio-8080-exec-23] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-26 20:50:51.336 [http-nio-8080-exec-23] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@6e7663ea
2023-04-26 20:50:51.339 [http-nio-8080-exec-23] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-26 21:07:20.359 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-26 21:07:20.424 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-26 21:07:20.430 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-26 21:07:24.701 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-26 21:07:24.748 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 14772 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-26 21:07:24.749 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-26 21:07:25.565 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-26 21:07:25.568 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-26 21:07:25.603 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2023-04-26 21:07:26.255 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-26 21:07:26.265 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-26 21:07:26.265 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-26 21:07:26.265 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-26 21:07:26.362 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-26 21:07:26.362 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1573 ms
2023-04-26 21:07:28.176 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3dee3a6c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62de20d3, org.springframework.security.web.context.SecurityContextHolderFilter@45b08b17, org.springframework.security.web.header.HeaderWriterFilter@64f6dd19, org.springframework.security.web.authentication.logout.LogoutFilter@6c19769c, top.lilong.security.filter.AuthenticationTokenFilter@6249a08d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3883b5e9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@61becbcf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6109d880, org.springframework.security.web.session.SessionManagementFilter@191774d6, org.springframework.security.web.access.ExceptionTranslationFilter@42b500aa, org.springframework.security.web.access.intercept.AuthorizationFilter@18f8e2e0]
2023-04-26 21:07:28.544 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-26 21:07:28.564 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-26 21:07:28.573 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.279 seconds (process running for 5.784)
2023-04-26 21:07:33.129 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
